# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2015)
# Atmospheric transmittance spectrum synthesized with PUMAS (Villanueva et al. 2016, Smith et al. 2009, Edwards 1992)
# Synthesized on Tue Jul 24 07:38:22 2018
# Molecular abundance atmprofile: Earth at 4084 m, NASA/MERRA 2017/01/02
# Molecules considered: H2O,CO2,O3,O2
# Molecular sources: HIT[1],HIT[2],HIT[3],HIT[7]
# Molecular abundances: 50,1,1,1
# Molecular abundance units: ppm,scl,scl,scl
# ------------------------------------------------------------------------
# Spectral unit: Frequency[GHz]
# Wave/freq Total H2O CO2 O3 O2
8.640000000e+02  0.86244  0.87205  1.00000  0.99367  0.99528
8.630000000e+02  0.77540  0.87051  1.00000  0.89520  0.99499
8.620000000e+02  0.84765  0.86682  1.00000  0.98318  0.99457
8.610000000e+02  0.80354  0.85749  1.00000  0.94408  0.99291
8.600000000e+02  0.82363  0.83453  1.00000  0.99446  0.99244
8.590000000e+02  0.84216  0.85570  1.00000  0.99066  0.99349
8.580000000e+02  0.76425  0.86601  1.00000  0.88856  0.99324
8.570000000e+02  0.84841  0.86962  1.00000  0.98267  0.99281
8.560000000e+02  0.85785  0.87125  1.00000  0.99227  0.99229
8.550000000e+02  0.85893  0.87170  1.00000  0.99361  0.99169
8.540000000e+02  0.85858  0.87042  1.00000  0.99538  0.99099
8.530000000e+02  0.85400  0.87107  1.00000  0.99014  0.99018
8.520000000e+02  0.85778  0.87138  1.00000  0.99511  0.98923
8.510000000e+02  0.85474  0.87007  1.00000  0.99420  0.98812
8.500000000e+02  0.84111  0.86527  1.00000  0.98507  0.98681
8.490000000e+02  0.78642  0.83931  1.00000  0.95018  0.98523
8.480000000e+02  0.84611  0.86462  1.00000  0.99528  0.98330
8.470000000e+02  0.84831  0.87011  1.00000  0.99390  0.98093
8.460000000e+02  0.84411  0.87140  1.00000  0.99052  0.97794
8.450000000e+02  0.83533  0.87187  1.00000  0.98354  0.97412
